#SKILL
Code         spell_blindness
Dammsg       ~
Wearoff      You can see again.~
Teachers     4 605~
Alignment   -1001
Minlevel     10
End

#SKILL
Name         choke~
Type         Spell
Flags        4
Target       1
Minpos       7
Slot         63
Mana         20
Rounds       12
Guild        7
Code         spell_cause_critical
Dammsg       spell~
Wearoff      !Cause Critical!~
Hitchar      Stretching out with the force you slowly choke your victim.~
Hitvict      You feel a tight pressure around your throat.~
Hitroom      $N begins to claw at $S throat.~
Teachers     4 605~
Alignment   -1001
Minlevel     20
End

#SKILL
Name         create fire~
Type         Spell
Flags        33554953
Minpos       8
Slot         85
Mana         10
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      !Create Fire!~
Hitchar      A small cloud of vaporous flame bursts forth before you.~
Hitroom      A small cloud of vaporous flame bursts forth before $n.~
Dice         L~
Value        30
Teachers     4 50 605~
Minlevel     12
End

#SKILL
Name         cure blindness~
Type         Spell
Flags        0
Target       2
Minpos       7
Slot         14
Mana         5
Rounds       12
Guild        7
Code         spell_cure_blindness
Dammsg       ~
Wearoff      !Cure Blindness!~
Teachers     4 50~
Alignment   1001
Minlevel     8
End

#SKILL
Name         cure critical~
Type         Spell
Flags        0
Target       2
Minpos       7
Slot         15
Mana         20
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      !Cure Critical!~
Hitchar      You cure $N's critical wounds.~
Hitvict      Your critical wounds close and your pain ebbs away.~
Teachers     4 50~
Affect       '' 13 '3d8+(l-6)' 0
Alignment   1001
Minlevel     18
End

#SKILL
Name         cure light~
Type         Spell
Flags        0
Target       2
Minpos       7
Slot         16
Mana         10
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      Your ability to see in the dark fades away.~
Hitchar      You cure $N's light wounds.~
Hitvict      Your light wounds mend and your pain ebbs slightly.~
Teachers     4 50~
Affect       '' 13 '1d8+(l/3)' 0
Alignment   1001
Minlevel     2
End

#SKILL
Name         cure poison~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         43
Mana         5
Rounds       12
Guild        7
Code         spell_cure_poison
Dammsg       ~
Wearoff      !Cure Poison!~
Teachers     4 50~
Alignment   1001
Minlevel     16
End

#SKILL
Name         cure serious~
Type         Spell
Flags        0
Target       2
Minpos       7
Slot         61
Mana         15
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      !Cure Serious!~
Hitchar      You cure $N's serious wounds.~
Hitvict      Your serious wounds mend and your pain ebbs away.~
Teachers     4 50~
Affect       '' 13 '2d8+(l/2)' 0
Alignment   1001
Minlevel     10
End

#SKILL
Name         detect darkness~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         18
Mana         5
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You stop focusing on the Dark Side.~
Hitvict      Traces of red outline all those who abuse the Force.~
Hitroom      A tint of red appears in $N's eyes, mirroring his own vision.~
Teachers     4 50~
Affect       'l*24' 26 'detect evil' 4
Alignment   1001
Minlevel     30
End

#SKILL
Name         detect force~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         20
Mana         5
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      The blue outlines disappear from your vision.~
Hitvict      Traces of blue outline objects touched by the Force.~
Hitroom      A tint of blue in $N's eyes mirrors $S own perception.~
Teachers     4 50 605~
Affect       'l*24' 26 'detect magic' 16
Minlevel     5
End

#SKILL
Name         detect intent~
Type         Spell
Flags        0
Target       2
Minpos       7
Slot         58
Mana         9
Rounds       12
Guild        7
Code         spell_know_alignment
Dammsg       ~
Wearoff      !Know Alignment!~
Teachers     4 50 605~
Minlevel     8
End

#SKILL
Name         detect masking~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         19
Mana         5
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You no longer see invisible objects.~
Hitvict      Your eyes fixate as they gain the ability to see the unseen.~
Hitroom      $N's eyes fixate as they gain the ability to see the unseen.~
Teachers     4 50 605~
Affect       'l*24' 26 'detect invis' 8
Minlevel     26
End

#SKILL
Name         detect poison~
Type         Spell
Flags        0
Target       4
Minpos       8
Slot         21
Mana         5
Rounds       12
Guild        7
Code         spell_detect_poison
Dammsg       ~
Wearoff      !Detect Poison!~
Teachers     4 50 605~
Minlevel     9
End

#SKILL
Name         detect traps~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         86
Mana         15
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You feel less aware of the dangers about you.~
Hitvict      You suddenly grow aware of the dangers about you.~
Hitroom      $N peers about the room, intent on finding all manner of danger.~
Teachers     4 50 605~
Affect       'l*24' 26 'detect traps' 8388608
Minlevel     13
End

#SKILL
Name         dispel dark~
Type         Spell
Flags        0
Target       1
Minpos       7
Slot         22
Mana         15
Rounds       12
Guild        7
Code         spell_dispel_evil
Dammsg       dispel evil~
Wearoff      !Dispel Evil!~
Teachers     4 50~
Alignment   1001
Minlevel     21
End

#SKILL
Name         dispel force~
Type         Spell
Flags        0
Target       1
Minpos       7
Slot         59
Mana         15
Rounds       12
Guild        7
Code         spell_dispel_magic
Dammsg       ~
Wearoff      !Dispel Magic!~
Teachers     4 50 605~
Minlevel     22
End

#SKILL
Name         drain essence~
Type         Spell
Flags        4
Target       1
Minpos       7
Slot         25
Mana         35
Rounds       12
Guild        7
Code         spell_energy_drain
Dammsg       energy drain~
Wearoff      !Energy Drain!~
Teachers     4 50 605~
Alignment   -1001
Minlevel     27
End

#SKILL
Name         dream~
Type         Spell
Flags        0
Minpos       8
Slot         233
Mana         5
Rounds       12
Guild        7
Code         spell_dream
Dammsg       ~
Wearoff      !Dream!~
Teachers     4 50 605~
Minlevel     35
End

#SKILL
Name         earthquake~
Type         Spell
Flags        0
Minpos       7
Slot         23
Mana         15
Rounds       12
Guild        7
Code         spell_earthquake
Dammsg       earthquake~
Wearoff      !Earthquake!~
Teachers     4 605~
Alignment   -1001
Minlevel     15
End

#SKILL
Name         farsight~
Type         Spell
Flags        0
Minpos       8
Slot         222
Mana         15
Rounds       12
Guild        7
Code         spell_farsight
Dammsg       ~
Wearoff      !Farsight!~
Teachers     4 50 605~
Minlevel     80
End

#SKILL
Name         fatigue~
Type         Spell
Flags        0
Target       1
Minpos       7
Slot         103
Mana         60
Rounds       15
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You no longer feel so sleepy.~
Hitchar      $N suddenly appears very tired and drowsy.~
Hitvict      You suddenly grow very tired and drowsy.~
Hitroom      $N suddenly appears very tired and drowsy.~
Immchar      Mysteriously, $N was not affected by your spell.~
Teachers     4 605~
Affect       'l*15' 29 '1024' 0
Alignment   -1001
Minlevel     46
End

#SKILL
Name         feebleness~
Type         Spell
Flags        12582912
Target       1
Minpos       7
Slot         107
Mana         30
Rounds       10
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You no longer feel so feeble.~
Hitchar      You lay a curse of feebleness upon $N.~
Hitvict      You grow feeble from a powerful curse.~
Hitroom      $n lays a curse of feebleness upon $N.~
Immchar      $N is not affected by your spell.~
Teachers     4 605~
Affect       'l*19' 29 '512' 0
Alignment   -1001
Minlevel     80
End

#SKILL
Name         fireball~
Type         Spell
Flags        1
Target       1
Minpos       7
Slot         26
Mana         15
Rounds       12
Guild        7
Code         spell_fireball
Dammsg       fireball~
Wearoff      !Fireball!~
Teachers     4 605~
Alignment   -1001
Minlevel     18
End

#SKILL
Name         flamestrike~
Type         Spell
Flags        1
Target       1
Minpos       7
Slot         65
Mana         20
Rounds       12
Guild        7
Code         spell_flamestrike
Dammsg       flamestrike~
Wearoff      !Flamestrike!~
Teachers     4 605~
Alignment   -1001
Minlevel     26
End

#SKILL
Name         silvertongue~
Type         Spell
Flags        0
Target       2
Minpos       8
Mana         15
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      Your tongue no longer feels quite so silver.~
Hitchar      $N's words take on a persuasive, silvery quality...~
Hitvict      Your words take on a persuasive, silvery quality...~
Hitroom      $N's words take on a persuasive, silvery quality...~
Minlevel     15
Affect       'l*24' 26 'silvertongue' 0
End

#SKILL
Name         Silvertongue~
Type         Skill
Flags        0
Target       2
Minpos       8
Rounds       12
Guild        5
Code         spell_smaug
Dammsg       ~
Wearoff      Your tongue no longer feels quite so silver.~
Hitchar      $N's words take on a persuasive, silvery quality...~
Hitvict      Your words take on a persuasive, silvery quality...~
Hitroom      $N's words take on a persuasive, silvery quality...~
Minlevel     30
Affect       'l*24' 26 'silvertongue' 0
End

#SKILL
Name         maskaura~
Type         Spell
Flags        0
Target       2
Minpos       8
Mana         20
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      The shroud around your aura fades.~
Hitchar      $N's aura clouds over, hidden from prying senses...~
Hitvict      Your aura clouds over, hidden from prying senses...~
Hitroom      $N's aura clouds over, hidden from prying senses...~
Minlevel     50
Affect       'l*24' 26 'maskaura' 524288
End

#SKILL
Name         regeneration~
Type         Spell
Flags        0
Target       2
Minpos       8
Mana         40
Rounds       18
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      Your wounds return to healing at a normal pace.~
Hitchar      $N's wounds begin knitting closed at an unnatural pace...~
Hitvict      Your wounds begin knitting closed at an unnatural pace...~
Hitroom      $N's wounds begin knitting closed at an unnatural pace...~
Minlevel     34
Affect       '24' 26 'regeneration' 1024
End

#SKILL
Name         diplomatic_immunity~
Type         Skill
Flags        0
Guild        -1
Code         spell_null
Dammsg       ~
Wearoff      !Diplomatic Immunity!~
Minlevel     1
End

#SKILL
Name         float~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         292
Mana         8
Rounds       18
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      Your feet float slowly to the surface.~
Hitchar      $N begins to float in mid-air...~
Hitvict      You begin to float in mid-air...~
Hitroom      $N begins to float in mid-air...~
Teachers     4 50 605~
Affect       'l*24' 26 'float' 2097152
Minlevel     10
End

#SKILL
Name         force blast wrath~
Type         Spell
Flags        12616076
Minpos       7
Slot         115
Mana         120
Rounds       24
Guild        7
Code         spell_smaug
Dammsg       spiritual wrath~
Dice         44*W~
Participants 3
Components   V@43~
Teachers     4 605~
Affect       '6' 26 'blindness' 1
Alignment   -1001
Minlevel     50
End

#SKILL
Name         force bolt~
Type         Spell
Flags        3
Target       1
Minpos       7
Slot         30
Mana         15
Rounds       12
Guild        7
Code         spell_lightning_bolt
Dammsg       lightning bolt~
Wearoff      !Lightning Bolt!~
Teachers     4 605~
Alignment   -1001
Minlevel     27
End

#SKILL
Name         force bubble~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         224
Mana         40
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      The shimmering shell and its protection from the Force fade away...~
Hitvict      A shimmering translucent shell forms about you.~
Hitroom      A shimmering translucent shell forms about $N.~
Teachers     4 50~
Affect       'l*24' 27 '2907151' 0
Affect       'l*20' 17 '-80' 0
Alignment   1001
Minlevel     90
End

#SKILL
Name         force funnel~
Type         Spell
Flags        0
Target       1
Minpos       7
Slot         218
Mana         75
Rounds       22
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      The funnel of Force about you ceases to exist.~
Hitchar      You erect a Force funnel about $N...~
Hitvict      An aura surrounds you, channeling violent energies in your direction!~
Hitroom      A Force funnel forms about $N...~
Immchar      The Force funnel dissipates before it reaches $N.~
Teachers     4 605~
Affect       'l*23' 29 '8' 0
Alignment   -1001
Minlevel     43
End

#SKILL
Name         force lightning~
Type         Spell
Flags        908
Target       1
Minpos       7
Slot         303
Mana         35
Rounds       8
Guild        7
Code         spell_black_lightning
Dammsg       Force Lightning~
Wearoff      !WEAROFF!~
Teachers     4 605~
Alignment   -1001
Minlevel     95
End

#SKILL
Name         chain lightning~
Type         Spell
Flags        908
Target       0
Minpos       7
Mana         175
Rounds       8
Guild        7
Code         spell_chain_lightning
Dammsg       Chain Lightning~
Wearoff      !WEAROFF!~
Teachers     4 605~
Alignment   -1001
Minlevel     125
End

#SKILL
Name         force shield~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         217
Mana         75
Rounds       22
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You are returned to the mundane energy continuum.~
Hitvict      You fade from the mundane energy continuum.~
Hitroom      A shield of Force divides $N from the mundane energy continuum.~
Teachers     4 50~
Affect       'l*24' 27 '1048576' 0
Affect       'l*20' 17 '-50' 0
Alignment   1001
Minlevel     80
End

#SKILL
Name         force sight~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         77
Mana         5
Rounds       18
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You no longer see in the dark.~
Hitchar      $N's eyes dart about as they grow accustomed to Force sight.~
Hitvict      Heat appears red through your eyes.~
Hitroom      $N's eyes dart about as they grow accustomed to Force sight.~
Teachers     4 50 605~
Affect       'l*24' 26 'infravision' 512
Minlevel     4
End

#SKILL
Name         force spray~
Type         Spell
Flags        4
Target       1
Minpos       7
Slot         62
Mana         15
Rounds       12
Guild        7
Code         spell_cause_light
Dammsg       spell~
Wearoff      !Cause Light!~
Teachers     4 605~
Alignment   -1001
Minlevel     2
End

#SKILL
Name         forethought~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         228
Mana         12
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      Furrowing your brow, you sense the weight of wisdom leave you.~
Hitchar      $N grows serious as wisdom takes root within $M.~
Hitvict      The wisdom of the Force blossoms within you.~
Hitroom      $N grows serious as wisdom takes root within $M.~
Teachers     4 50~
Affect       'l*24' 4 '1+(l/17)' 0
Alignment   1001
Minlevel     28
End

#SKILL
Name         good fortune~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         3
Mana         5
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      The protection of the Force fades away.~
Hitchar      You lay the blessing of the Force upon $N.~
Hitvict      A powerful blessing is laid upon you.~
Hitroom      $N beams as a powerful blessing is laid upon $M.~
Teachers     4 50~
Affect       'l*23' 18 'l/8' 0
Affect       'l*23' 24 '-(l/8)' 0
Alignment   999
Minlevel     27
End

#SKILL
Name         group masking~
Type         Spell
Flags        16777216
Target       2
Minpos       8
Slot         69
Mana         20
Rounds       24
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You are no longer masked.~
Hitvict      You fade from existence.~
Hitroom      $N fades from existence.~
Teachers     4 50 605~
Affect       'l*11' 26 'mass invis' 2
Minlevel     43
End

#SKILL
Name         hand of Darkness~
Type         Spell
Flags        908
Target       1
Minpos       7
Slot         307
Mana         15
Rounds       8
Guild        7
Code         spell_hand_of_chaos
Dammsg       Hand of Chaos~
Wearoff      !WEAROFF!~
Teachers     4 605~
Alignment   -1001
Minlevel     56
End

#SKILL
Name         harm~
Type         Spell
Flags        4
Target       1
Minpos       7
Slot         27
Mana         35
Rounds       12
Guild        7
Code         spell_harm
Dammsg       harm spell~
Wearoff      !Harm!~
Teachers     4 605~
Alignment   -1001
Minlevel     26
End

#SKILL
Name         heal~
Type         Spell
Flags        0
Target       2
Minpos       7
Slot         28
Mana         50
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      !Heal!~
Hitchar      You lay a hand of healing upon $N.~
Hitvict      A warm feeling fills your body.~
Teachers     4 50~
Affect       '' 13 '100' 0
Alignment   1001
Minlevel     30
End

#SKILL
Name         heightened awareness~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         44
Mana         5
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You feel less aware of your surroundings.~
Hitvict      Your senses are heightened to those of an animal.~
Hitroom      $N's senses are heightened to those of an animal.~
Teachers     4 50 605~
Affect       'l*24' 26 'detect hidden' 32
Minlevel     15
End

#SKILL
Name         illuminate~
Type         Spell
Flags        33554952
Minpos       8
Slot         57
Mana         7
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      !Continual Light!~
Hitchar      Shards of iridescent light collide to form a dazzling ball...~
Hitroom      Shards of iridescent light collide to form a dazzling ball...~
Dice         0~
Value        21
Teachers     4 50 605~
Minlevel     4
End

#SKILL
Name         inner fortress~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         66
Mana         12
Rounds       18
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You soften.~
Hitvict      You steel yourself against pain.~
Hitroom      $N's face hardens.~
Teachers     4 50~
Affect       'l*20' 13 'l*5' 0
Affect       'l*20' 5 '5' 0
Alignment   1001
Minlevel     34
End

#SKILL
Name         invade essence~
Type         Spell
Flags        4
Target       1
Minpos       7
Slot         64
Mana         17
Rounds       12
Guild        7
Code         spell_cause_serious
Dammsg       spell~
Wearoff      !Cause Serious!~
Teachers     4 605~
Alignment   -1001
Minlevel     10
End

#SKILL
Name         know essence~
Type         Spell
Flags        0
Minpos       8
Slot         53
Mana         12
Rounds       24
Guild        7
Code         spell_identify
Dammsg       ~
Wearoff      !Identify!~
Teachers     4 50 605~
Minlevel     20
End

#SKILL
Name         Item_knowledge~
Type         Skill
Flags        0
Minpos       8
Slot         53
Guild        2
Code         spell_identify
Dammsg       ~
Wearoff      !Identify!~
Teachers     4 50 605~
Minlevel     20
End

#SKILL
Name         mask~
Type         Spell
Flags        0
Minpos       8
Slot         29
Mana         5
Rounds       12
Guild        7
Code         spell_invis
Dammsg       ~
Wearoff      You are no longer invisible.~
Hitchar      $N fades from existence.~
Hitvict      You fade from existence.~
Hitroom      $N fades from existence.~
Teachers     4 50 605~
Affect       'l*11' 26 'invis' 2
Minlevel     25
End

#SKILL
Name         poison~
Type         Spell
Flags        268435456
Target       1
Minpos       8
Slot         33
Mana         10
Rounds       20
Guild        7
Code         spell_poison
Dammsg       poison~
Wearoff      You feel less sick.~
Teachers     4 605~
Alignment   -1001
Minlevel     13
End

#SKILL
Name         possess~
Type         Spell
Flags        0
Minpos       8
Slot         232
Mana         120
Rounds       12
Guild        7
Code         spell_possess
Dammsg       possess~
Wearoff      You return to your body.~
Teachers     4 605~
Alignment   -1001
Minlevel     125
End

#SKILL
Name         protection from darkness~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         34
Mana         5
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You feel less protected from the Dark Side.~
Hitvict      You are blessed with a protection from the Dark Side.~
Hitroom      $N is blessed with a protection from the Dark Side.~
Teachers     4 50~
Affect       'l*10' 26 'protection' 8192
Alignment   1001
Minlevel     25
End

#SKILL
Name         refresh~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         81
Mana         12
Rounds       18
Guild        7
Code         spell_smaug
Dammsg       refresh~
Wearoff      !Refresh!~
Hitchar      You allow blooming vitality to flow from you to $N.~
Hitvict      Blooming vitality flows through you.~
Teachers     4 50~
Affect       '' 14 'l' 0
Alignment   1001
Minlevel     6
End

#SKILL
Name         remove masking~
Type         Spell
Flags        0
Minpos       8
Slot         230
Mana         10
Rounds       12
Guild        7
Code         spell_remove_invis
Dammsg       ~
Wearoff      !Remove Invis!~
Teachers     4 50 605~
Minlevel     35
End

#SKILL
Name         remove trap~
Type         Spell
Flags        0
Minpos       8
Slot         87
Mana         35
Rounds       12
Guild        7
Code         spell_remove_trap
Dammsg       ~
Wearoff      !Remove trap!~
Teachers     4 50 605~
Minlevel     29
End

#SKILL
Name         restoration~
Type         Spell
Flags        29360128
Minpos       7
Slot         113
Mana         80
Rounds       20
Guild        7
Code         spell_smaug
Dammsg       ~
Hitvict      A warm feeling flows through you.~
Hitroom      A warm feeling flows through $N.~
Participants 2
Components   V@43~
Teachers     4 50~
Affect       '' 13 '200' 0
Alignment   1001
Minlevel     60
End

#SKILL
Name         sanctuary~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         36
Mana         75
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      The luminous aura about your body fades away.~
Hitchar      A luminous aura spreads slowly over $N's body.~
Hitvict      A luminous aura spreads slowly over your body.~
Hitroom      A luminous aura spreads slowly over $N's body.~
Teachers     4 50~
Affect       '(l*4)+30' 26 'sanctuary' 128
Alignment   1001
Minlevel     27
End

#SKILL
Name         scorching surge~
Type         Spell
Flags        1
Target       1
Minpos       7
Slot         296
Mana         25
Rounds       12
Guild        7
Code         spell_scorching_surge
Dammsg       scorching surge~
Wearoff      !Scorching Surge!~
Teachers     4 605~
Alignment   -1001
Minlevel     73
End

#SKILL
Name         shield~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         67
Mana         12
Rounds       18
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      Your force shield shimmers then fades away.~
Hitchar      A force shield of shimmering blue surrounds $N.~
Hitvict      A force shield of shimmering blue surrounds you.~
Hitroom      A force shield of shimmering blue surrounds $N.~
Teachers     4 50~
Affect       'l*20' 17 '-50' 0
Alignment   1001
Minlevel     26
End

#SKILL
Name         shocking grasp~
Type         Spell
Flags        3
Target       1
Minpos       7
Slot         51
Mana         15
Rounds       12
Guild        7
Code         spell_shocking_grasp
Dammsg       shocking grasp~
Wearoff      !Shocking Grasp!~
Teachers     4 605~
Alignment   -1001
Minlevel     14
End

#SKILL
Name         shockshield~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         89
Mana         95
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      The torrents of cascading energy suddenly fade away.~
Hitvict      Torrents of cascading energy form around you.~
Hitroom      Torrents of cascading energy form around $N.~
Teachers     4 605~
Affect       '(l*3)+14' 26 'shockshield' 67108864
Alignment   -1001
Minlevel     72
End

#SKILL
Name         sleep~
Type         Spell
Flags        268435456
Minpos       8
Slot         38
Mana         15
Rounds       12
Guild        7
Code         spell_sleep
Dammsg       ~
Wearoff      You feel less tired.~
Teachers     4 50 605~
Minlevel     24
End

#SKILL
Name         slink~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         205
Mana         12
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      You suddenly feel less coordinated...~
Hitchar      $N suddenly appears more agile...~
Hitvict      You suddenly feel more nimble...~
Hitroom      $N suddenly appears more agile...~
Teachers     4 50~
Affect       'l*24' 2 '1+(l/17)' 0
Alignment   1001
Minlevel     18
End

#SKILL
Name         true sight~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         235
Mana         70
Rounds       12
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      Your vision descends to the material plane.~
Hitvict      Your vision is elevated to the highest plane.~
Hitroom      $N's eyes begin to glow a soft white.~
Teachers     4 50 605~
Affect       'l-10' 26 'truesight' 4194304
Minlevel     77
End

#SKILL
Name         unravel defense~
Type         Spell
Flags        12582912
Target       1
Minpos       7
Slot         110
Mana         70
Rounds       15
Guild        7
Code         spell_smaug
Dammsg       ~
Wearoff      Your intricate defenses are restored to their original quality.~
Hitchar      $N's eyes widen in fear as $S defenses are unravelled.~
Hitvict      Your defenses are unravelled before your very eyes.~
Hitroom      $N's eyes widen in fear as $S defenses are unravelled.~
Immchar      Your spell has no effect upon $N.~
Teachers     4 50 605~
Affect       '(l*3)+25' 29 '8192' 0
Affect       '(l*3)+25' 29 '1048576' 0
Minlevel     66
End

#SKILL
Name         ventriloquate~
Type         Spell
Flags        0
Minpos       8
Slot         41
Mana         5
Rounds       12
Guild        7
Code         spell_ventriloquate
Dammsg       ~
Wearoff      !Ventriloquate!~
Teachers     4 50 605~
Minlevel     9
End

#SKILL
Name         weaken~
Type         Spell
Flags        0
Target       1
Minpos       7
Slot         68
Mana         20
Rounds       12
Guild        7
Code         spell_weaken
Dammsg       spell~
Wearoff      You feel stronger.~
Teachers     4 605~
Alignment   -1001
Minlevel     3
End

#SKILL
Name         acute_awarness~
Type         Skill
Flags        0
Target       3
Minpos       8
Rounds       20
Guild        3
Code         spell_smaug
Dammsg       ~
Hitchar      You focus your senses to find those that would hide from you.~
Teachers     4 32050~
Affect       'l*5' 26 'detect hidden' 32
Minlevel     50
End

#SKILL
Name         acute_damage~
Type         Skill
Flags        0
Target       3
Minpos       8
Rounds       20
Guild        3
Code         spell_smaug
Dammsg       You focus on your opponents weak points increasing your damage.~
Teachers     4 32050~
Affect       'l*10' 19 '2+(l/33)' 0
Minlevel     99
End

#SKILL
Name         add_patrol~
Type         Skill
Flags        0
Minpos       8
Rounds       12
Guild        6
Code         do_add_patrol
Dammsg       ~
Wearoff      !!~
Minlevel     50
End

#SKILL
Name         aid~
Type         Skill
Flags        0
Minpos       8
Rounds       12
Guild        8
Code         do_aid
Dammsg       ~
Wearoff      !Aid!~
Teachers     4 10340 32006~
Minlevel     1
End

#SKILL
Name         backstab~
Type         Skill
Flags        0
Minpos       8
Rounds       12
Guild        3
Code         do_backstab
Dammsg       backstab~
Wearoff      !Backstab!~
Teachers     4 32050~
Minlevel     6
End

#SKILL
Name         bash~
Type         Skill
Flags        0
Target       1
Minpos       7
Rounds       8
Guild        0
Code         do_bash
Dammsg       bash~
Wearoff      !Bash!~
Teachers     4 32012 32011 412~
Minlevel     47
End

#SKILL
Name         beg~
Type         Skill
Flags        0
Minpos       8
Rounds       20
Guild        4
Code         do_beg
Dammsg       ~
Wearoff      !Beg!~
Teachers     4 210~
Minlevel     1
End

#SKILL
Name         berserk~
Type         Skill
Flags        0
Target       1
Minpos       7
Rounds       4
